"MATRICULA","COD_EVASAO","MEDIA","REPROVADO","REP_FALTA","TRANCOU","NUM_CURSADAS"
292860458,0,8.7,0,0,0,4
292860461,0,6.81666666666667,1,0,0,6
292860470,0,7.275,0,0,0,4
292860473,0,7.94,0,0,0,5
292860476,0,7.23333333333333,0,0,0,6
292860479,0,6.93333333333333,0,0,0,6
292860485,0,0,0,0,1,6
292860488,0,9.775,0,0,0,4
292860491,0,7.9,0,0,0,6
292860500,0,0,0,0,2,6
292860503,0,5.46,1,0,0,5
292860509,0,8.06666666666667,0,0,0,6
292860515,0,8.1,0,0,0,2
292860518,0,2.1,2,2,0,5
292860521,0,6.46666666666667,2,0,0,6
292860524,0,7.7,0,0,0,4
292860527,0,7.14,0,0,0,5
292860533,0,9.15,0,0,0,6
292860536,0,7.25,0,0,0,6
292860539,0,7.15,1,0,0,6
292860548,0,7.55,0,0,0,6
292860554,0,0,0,4,0,4
292860557,0,9.35,0,0,0,6
292860560,0,7.76666666666667,0,0,0,6
292862531,1,0,0,0,6,6
292862534,1,0,0,0,5,5
292862537,0,6.41666666666667,0,0,0,6
292862540,0,4.15,2,1,0,6
293160563,0,8.975,0,0,0,4
293160566,0,7.275,0,0,0,4
293160569,0,2.65,0,1,0,2
293160572,0,7.58333333333333,0,0,0,6
293160578,0,6.28333333333333,2,0,0,6
293160581,0,0,0,0,1,6
293160590,0,7.6,0,0,0,1
293160596,0,5.025,1,0,0,4
293160599,0,7.1,2,0,0,6
293160608,0,7.35,0,0,0,2
293160611,0,6.76666666666667,0,0,0,6
293160620,0,4.35,0,2,0,6
293160623,0,7.38333333333333,0,0,0,6
293160626,0,7.26666666666667,0,0,0,3
293160635,0,7.56666666666667,0,0,0,6
293160644,0,0.816666666666667,3,3,0,6
293160653,0,5.9,2,0,0,4
293160656,0,7.65,0,0,0,2
293161913,0,7.1,0,0,0,6
293161919,0,7.96666666666667,0,0,0,6
293161922,0,7.2,0,0,0,6
293161925,0,7.8,0,0,0,6
293161928,0,7.21666666666667,2,0,0,6
293161937,0,7.4,0,0,0,4
295860128,0,9.16666666666667,0,0,0,6
295860131,1,0,0,0,6,6
295860134,0,6.65,0,0,0,6
295860140,0,7.42,0,0,0,5
295860143,0,6.88333333333333,0,0,0,6
295860158,1,0,0,0,5,5
295860161,0,7.68333333333333,0,0,0,6
295860167,0,8.01666666666667,0,0,0,6
295860173,0,6.38333333333333,1,0,0,6
295860176,0,8.16666666666667,0,0,0,6
295860188,0,9.16666666666667,0,0,0,6
295860200,0,8.51666666666667,0,0,0,6
295860209,0,9.64,0,0,0,5
295860215,0,8.23333333333333,0,0,0,6
295860218,0,7.05,0,0,0,6
295860227,0,0.516666666666667,1,5,0,6
295860230,0,8.18333333333333,0,0,0,6
295861427,0,6.86666666666667,1,0,0,6
295861433,0,7.91666666666667,1,0,0,6
295861814,0,8.73333333333333,0,0,0,6
295861955,0,5.88333333333333,1,0,0,6
296160128,0,7.1,0,0,0,2
296160137,0,6.4,2,0,0,6
296160146,0,8.825,0,0,0,4
296160149,0,8.6,0,0,0,2
296160155,0,9.31666666666667,0,0,0,6
296160158,0,7.375,1,0,0,4
296160161,0,6.85,0,0,0,6
296160164,0,7,0,0,0,1
296160170,0,8.28333333333333,0,0,0,6
296160173,0,7.98333333333333,0,0,0,6
296160176,0,6.95,0,0,0,6
296160179,0,6.53333333333333,2,0,0,6
296160185,1,0.133333333333333,2,4,0,6
296160194,0,7.6,0,0,0,5
296160209,0,7.95714285714286,0,0,0,7
296160215,0,7.71666666666667,0,0,0,6
296160221,0,9.48,0,0,0,5
296160233,1,0,0,2,0,2
296160239,1,0.216666666666667,1,5,0,6
296160791,1,0,0,3,0,3
296160797,0,5.46666666666667,1,0,0,6
296160803,0,8.91666666666667,0,0,0,6
296160815,1,0.0333333333333333,1,5,0,6
298860128,0,7.8,0,0,0,6
298860131,0,7.96666666666667,0,0,0,6
298860134,0,8.58333333333333,0,0,0,6
298860137,0,4.9,0,1,0,3
298860140,0,7.58333333333333,0,0,0,6
298860146,0,8.65,0,0,0,6
298860152,0,8.21666666666667,0,0,0,6
298860155,0,8.66666666666667,0,0,0,6
298860164,0,8.05,0,0,0,6
298860167,0,5.9,1,1,0,6
298860170,0,7.48,0,0,0,5
298860173,0,7.93333333333333,0,0,0,6
298860179,0,9,0,0,0,6
298860182,0,5.85,0,1,0,6
298860185,0,8.1,0,0,0,4
298860188,0,7.66666666666667,0,0,0,3
298860194,0,8.75,0,0,0,6
298860197,0,8.68333333333333,0,0,0,6
298860200,0,6.4,0,0,0,1
298860209,0,8.73333333333333,0,0,0,6
298860218,0,7.98333333333333,0,0,0,6
298860221,0,8.61666666666667,0,0,0,6
298860227,0,8.23333333333333,0,0,0,6
298860230,0,9.03333333333333,0,0,0,6
298860233,0,2.16666666666667,2,3,0,6
298861625,0,8.03333333333333,0,0,0,6
298861628,0,8.62,0,0,0,5
298861631,0,8.1,0,0,0,6
298861937,0,8.01666666666667,0,0,0,6
299160134,0,7.65,0,0,0,6
299160137,0,7.56666666666667,0,0,0,6
