CURSO;COD_EVASAO;PERIODO;CODIGO;DEPARTAMENTO;MEDIA;SITUACAO;MATRICULA;PERIODO_INGRESSO
14102100;0;2009.2;1411190;UNID. ACAD. DE SISTEMAS E COMPUTAÃ‡ÃƒO;6;Aprovado;302160164;2009.2
14102100;0;2009.2;1411189;UNID. ACAD. DE SISTEMAS E COMPUTAÃ‡ÃƒO;5.1;Aprovado;302160164;2009.2
14102100;0;2009.2;1411188;UNID. ACAD. DE SISTEMAS E COMPUTAÃ‡ÃƒO;7.2;Aprovado;302160164;2009.2
14102100;0;2009.2;1307150;UNID. ACAD. DE LETRAS;8.6;Aprovado;302160164;2009.2
14102100;0;2009.2;1411249;UNID. ACAD. DE SISTEMAS E COMPUTAÃ‡ÃƒO;0;Reprovado por Falta;302160164;2009.2
14102100;1;2009.1;1307151;UNID. ACAD. DE LETRAS;2.9;Reprovado;301860317;2009.1
14102100;1;2009.1;1109035;UNID. ACAD. DE MATEMÃTICA;8.8;Aprovado;301860317;2009.1
14102100;1;2009.1;1411174;UNID. ACAD. DE SISTEMAS E COMPUTAÃ‡ÃƒO;0;Reprovado por Falta;301860317;2009.1
14102100;1;2009.1;1109103;UNID. ACAD. DE MATEMÃTICA;2.5;Reprovado;301860317;2009.1
14102100;1;2009.1;1411167;UNID. ACAD. DE SISTEMAS E COMPUTAÃ‡ÃƒO;0;Reprovado por Falta;301860317;2009.1
14102100;1;2009.1;1411180;UNID. ACAD. DE SISTEMAS E COMPUTAÃ‡ÃƒO;2.6;Reprovado;301860317;2009.1
11124100;1;2010.2;1107131;UNID. ACAD. DE ENGENHARIA QUÃMICA;7.2;Aprovado;305161226;2010.2
11124100;1;2010.2;1109050;UNID. ACAD. DE MATEMÃTICA;5.9;Aprovado;305161226;2010.2
11124100;1;2010.2;1109035;UNID. ACAD. DE MATEMÃTICA;6.1;Aprovado;305161226;2010.2
14102100;0;2007.2;1109035;UNID. ACAD. DE MATEMÃTICA;7.8;Aprovado;296160173;2007.2
14102100;0;2007.2;1109103;UNID. ACAD. DE MATEMÃTICA;7.2;Aprovado;296160173;2007.2
14102100;0;2007.2;1411180;UNID. ACAD. DE SISTEMAS E COMPUTAÃ‡ÃƒO;8.3;Aprovado;296160173;2007.2
14102100;0;2007.2;1307151;UNID. ACAD. DE LETRAS;8.5;Aprovado;296160173;2007.2
