"MATRICULA","COD_EVASAO","MEDIA","REPROVADO","REP_FALTA","TRANCOU","NUM_CURSADAS"
292861733,0,7.21428571428571,0,0,0,7
292861739,0,5.71428571428571,2,0,0,7
292861748,0,7.58333333333333,0,0,0,6
292861754,0,6.11428571428571,0,1,0,7
292861757,0,0,1,1,1,6
292861763,0,0,0,0,1,7
292861766,0,7.82857142857143,0,0,0,7
292861769,0,8.08333333333333,0,0,0,6
292861772,0,8.43333333333333,0,0,0,6
292861778,0,0,0,7,0,7
292861790,0,6.28333333333333,1,0,0,6
292861799,0,7.86,0,0,0,5
292861802,0,7.94,0,0,0,5
292861805,0,0,2,0,1,6
292861811,0,0,0,0,7,7
292861814,0,0,0,3,1,4
292862627,0,0,0,2,1,6
292862636,0,0,0,0,3,7
292862642,0,7.96666666666667,0,0,0,3
292862645,0,0,1,1,1,6
292862750,0,0,0,6,0,6
293161823,0,7.01428571428571,1,0,0,7
293161853,0,9.13333333333333,0,0,0,6
293161859,0,5.16666666666667,2,0,0,6
293161862,0,7.45714285714286,1,0,0,7
293161880,0,8.78571428571428,0,0,0,7
293161886,0,8.96,0,0,0,5
293161904,0,1.07142857142857,3,4,0,7
293161910,0,7.16666666666667,1,0,0,6
293162090,0,6.64,1,0,0,5
293162093,0,9.4,0,0,0,1
293162096,0,3.85,0,3,0,6
293162099,0,6.4,2,0,0,7
293162102,0,8.34285714285714,0,0,0,7
293162114,0,7.15,0,0,0,6
293162120,0,5.77142857142857,1,1,0,7
293162123,0,5.55,3,0,0,6
293162126,0,0,0,6,0,6
293162165,0,7.08,1,0,0,5
293162171,0,7.34285714285714,0,0,0,7
295860863,1,0,0,2,0,2
295860872,0,8.31428571428571,0,0,0,7
295860875,0,7.52857142857143,0,0,0,7
295860884,0,8.2,0,0,0,7
295860890,0,9.21428571428571,0,0,0,7
295860893,0,8.6,0,0,0,6
295860917,0,6.61428571428571,0,0,0,7
295860920,0,9.25,0,0,0,2
295860938,0,8.2,0,0,0,7
295860941,0,9.01428571428571,0,0,0,7
295860947,0,7.57142857142857,0,0,0,7
295860950,0,0,0,0,1,6
295861580,0,8.82857142857143,0,0,0,7
295861763,0,0,1,4,1,7
295861772,0,8.65,0,0,0,6
295861775,0,0,0,0,7,7
295861880,0,8.84,0,0,0,5
296160713,1,0,0,7,0,7
296160725,1,0,0,4,0,4
296160734,0,6.975,0,0,0,4
296160785,0,4.8,1,2,0,6
296161007,0,7.97142857142857,0,0,0,7
296161013,1,0,0,0,7,7
296161019,0,9.1,0,0,0,7
296161031,0,5.52,0,0,1,5
296161046,1,0,0,0,1,1
296161049,0,7.18571428571429,1,0,0,7
296161055,0,5.78571428571429,3,0,0,7
296161112,0,7.45714285714286,0,0,0,7
298860971,0,8.96666666666667,0,0,0,6
298860983,0,2.98571428571429,1,4,0,7
298861007,0,9.4,0,0,0,7
298861010,0,8.46666666666667,0,0,0,3
298861016,0,6.03333333333333,1,1,0,6
298861022,0,9.8,0,0,0,1
298861031,0,8.65714285714286,0,0,0,7
298861034,0,7.8,0,0,0,7
298861037,0,7.2,0,0,0,6
298861043,0,8.35,0,0,0,6
298861049,0,6.97142857142857,2,0,0,7
298861052,0,8.81428571428571,0,0,0,7
298861826,0,7.42857142857143,0,0,0,7
298861829,0,7.5,0,0,0,2
299160653,0,5.53333333333333,2,0,0,6
299160659,0,4.18,1,1,0,5
299160662,0,7.94285714285714,0,0,0,7
299160689,0,6.66666666666667,1,0,0,6
299160695,1,6.66666666666667,0,0,1,6
299160926,0,7.56666666666667,0,0,0,6
299160929,0,5.25,0,1,0,4
299160956,0,8.01666666666667,0,0,0,6
299160962,0,8,0,0,0,7
299160968,0,7.58571428571429,0,0,0,7
299161139,0,7.76,0,0,0,5
299161208,0,3.11428571428571,1,3,0,7
301860179,0,8.65714285714286,0,0,0,7
301860266,0,8.44285714285714,0,0,0,7
301861670,0,4.83333333333333,1,1,0,6
301861673,0,7.65,0,0,0,6
301861700,0,7.2125,0,0,0,8
301861721,0,5.35714285714286,1,2,0,7
301861745,0,6.56666666666667,0,0,0,3
301862726,0,8.78571428571428,0,0,0,7
301862927,0,5.56666666666667,2,0,0,6
301862951,0,5.125,2,0,0,4
302160860,0,7.18333333333333,0,0,0,6
302160938,0,4.28,3,0,0,5
302160962,0,7.4,0,0,0,6
302161247,0,4.75,0,2,0,6
302161289,0,6.36666666666667,1,0,0,6
302161292,0,4.72857142857143,1,2,0,7
302161439,1,5.025,1,0,0,4
302161508,0,8.45,0,0,0,6
304861754,0,8.5,0,0,0,6
304861757,0,6,0,0,0,2
304862870,0,6.4,3,0,0,7
304863089,0,5.56666666666667,2,0,0,6
304980686,1,1.04285714285714,1,5,0,7
304980797,0,6.73333333333333,0,0,0,6
305161127,1,1.16666666666667,0,5,0,6
305161166,0,4.73333333333333,1,1,0,6
305161211,0,8.45,0,0,0,6
305161220,0,7.575,0,0,0,6
305161226,1,6.4,0,0,0,3
305161232,0,6.25,0,0,0,4
305161568,0,6.28333333333333,2,0,0,6
305161571,0,3.55,0,2,0,4
305161577,0,5.34285714285714,2,0,0,7
305161595,0,7,0,0,0,6
305161598,0,4.35,3,0,0,4
305161850,0,6.8,0,0,0,3
305161913,0,6.33333333333333,0,0,0,6
307860239,0,4.58,0,2,0,5
307861706,0,6.81428571428571,0,1,0,7
307861742,1,0,0,3,0,3
307861778,0,6.45,0,0,0,4
307861811,0,6.75714285714286,1,0,0,7
307980515,0,7.35,0,0,0,6
